Metric,age_or_height,sex,Match ID,m,s,l,2.5th,5th,25th,50th,75th,95th,97.5th
whz,71.2,Female,71.2_2,8.100329108,0.096953325,-0.08192831,6.708287393,6.913413264,7.588889142,8.100329108,8.649266519,9.510816054,9.810217516
whz,71.3,Female,71.3_2,8.122355103,0.096865164,-0.082189611,6.727703836,6.933226824,7.609978763,8.122355103,8.672271551,9.535308428,9.835213789
whz,71.4,Female,71.4_2,8.144294952,0.096777335,-0.082450913,6.747051073,6.952968675,7.630988446,8.144294952,8.695183797,9.559697648,9.860103319
whz,71.5,Female,71.5_2,8.166148305,0.096689905,-0.082712215,6.766327867,6.972637695,7.651917491,8.166148305,8.718003311,9.583984458,9.884887106
whz,71.6,Female,71.6_2,8.187914864,0.096602939,-0.082973517,6.78553304,6.992232823,7.672765252,8.187914864,8.740730197,9.608169643,9.909566186
whz,71.7,Female,71.7_2,8.209594333,0.096516507,-0.08323482,6.804665338,7.011752934,7.693531058,8.209594333,8.763364592,9.63225408,9.93414171
whz,71.8,Female,71.8_2,8.231186415,0.096430674,-0.083496123,6.823723567,7.03119695,7.714214257,8.231186415,8.785906607,9.656238576,9.958614741
whz,71.9,Female,71.9_2,8.252690813,0.096345507,-0.083757426,6.842706494,7.050563765,7.734814184,8.252690813,8.80835637,9.680123981,9.982986395
whz,72,Female,72_2,8.274107229,0.096261072,-0.08401873,6.86161289,7.069852272,7.755330176,8.274107229,8.830714004,9.703911137,10.00725778
whz,72.1,Female,72.1_2,8.295435368,0.096177437,-0.084280034,6.880441493,7.089061339,7.775761556,8.295435368,8.852979653,9.727600933,10.03143006
whz,72.2,Female,72.2_2,8.316674931,0.096094666,-0.084541338,6.899191081,7.108189865,7.796107663,8.316674931,8.875153434,9.751194196,10.05550432
whz,72.3,Female,72.3_2,8.337825623,0.096012826,-0.084802643,6.917860387,7.127236714,7.816367821,8.337825623,8.897235493,9.77469182,10.07948173
whz,72.4,Female,72.4_2,8.358887147,0.095931982,-0.085063948,6.93644816,7.146200763,7.836541356,8.358887147,8.919225964,9.798094671,10.10336342
whz,72.5,Female,72.5_2,8.379859204,0.095852199,-0.085325253,6.954953141,7.165080877,7.856627594,8.379859204,8.941124982,9.821403623,10.12715055
whz,72.6,Female,72.6_2,8.4007415,0.095773544,-0.085586559,6.973374036,7.183875899,7.876625847,8.4007415,8.962932704,9.844619597,10.15084432
whz,72.7,Female,72.7_2,8.421533735,0.09569608,-0.085847865,6.991709595,7.202584704,7.896535443,8.421533735,8.984649259,9.867743453,10.17444585
whz,72.8,Female,72.8_2,8.442235615,0.095619872,-0.086109171,7.009958536,7.221206142,7.916355699,8.442235615,9.006274798,9.890776099,10.19795633
whz,72.9,Female,72.9_2,8.462846841,0.095544986,-0.086370478,7.028119551,7.23973904,7.936085922,8.462846841,9.027809478,9.913718461,10.22137697
whz,73,Female,73_2,8.483367118,0.095471485,-0.086631785,7.04619137,7.258182257,7.955725432,8.483367118,9.049253443,9.936571431,10.24470893
whz,73.1,Female,73.1_2,8.503796147,0.095399435,-0.086893093,7.064172669,7.276534608,7.975273531,8.503796147,9.070606855,9.959335954,10.26795346
whz,73.2,Female,73.2_2,8.524133633,0.095328898,-0.087154401,7.082062176,7.29479495,7.994729538,8.524133633,9.09186986,9.982012922,10.29111171
whz,73.3,Female,73.3_2,8.544379277,0.09525994,-0.087415709,7.099858552,7.312962084,8.014092749,8.544379277,9.113042627,10.0046033,10.31418494
whz,73.4,Female,73.4_2,8.564532784,0.095192625,-0.087677018,7.117560483,7.331034831,8.033362467,8.564532784,9.134125319,10.02710802,10.33717437
whz,73.5,Female,73.5_2,8.584593856,0.095127015,-0.087938327,7.135166673,7.349012027,8.052538004,8.584593856,9.155118087,10.04952801,10.36008121
whz,73.6,Female,73.6_2,8.604562197,0.095063176,-0.088199636,7.152675762,7.366892459,8.071618648,8.604562197,9.176021115,10.07186425,10.38290674
whz,73.7,Female,73.7_2,8.62443751,0.095001169,-0.088460946,7.170086456,7.384674962,8.090603709,8.62443751,9.196834553,10.09411766,10.40565216
whz,73.8,Female,73.8_2,8.644219497,0.094941061,-0.088722256,7.187397369,7.402358297,8.109492465,8.644219497,9.217558593,10.11628926,10.42831878
whz,73.9,Female,73.9_2,8.663907862,0.094882912,-0.088983567,7.204607205,7.419941302,8.128284226,8.663907862,9.238193389,10.13837997,10.45090781
whz,74,Female,74_2,8.683502307,0.094826788,-0.089244878,7.221714579,7.437422737,8.14697827,8.683502307,9.258739131,10.1603908,10.47342058
whz,74.1,Female,74.1_2,8.703002537,0.094772752,-0.08950619,7.238718143,7.454801394,8.165573887,8.703002537,9.279195999,10.18232274,10.49585834
whz,74.2,Female,74.2_2,8.722408254,0.094720867,-0.089767502,7.255616541,7.47207606,8.184070367,8.722408254,9.299564169,10.20417676,10.5182224
